,user,time_unix,weight_dem,weight_rep
0,Bernie Sanders,1478269189,0.93404907,0.06595094
1,Hillary Clinton,1478281295,0.12679929,0.8732007
2,Hillary Clinton,1476301039,0.053179994,0.94681996
3,Bernie Sanders,1478288418,0.025862716,0.9741373
4,Bernie Sanders,1478295120,0.64462537,0.35537457
5,Hillary Clinton,1478282525,0.9783232,0.021676745
6,Hillary Clinton,1478295915,0.9981122,0.001887757
7,Hillary Clinton,1478308263,0.9974757,0.0025243135
8,Hillary Clinton,1473985349,0.8464487,0.15355127
9,Bernie Sanders,1478306640,0.08903777,0.9109623
10,Hillary Clinton,1478283857,0.9756688,0.024331208
11,Bernie Sanders,1478300521,0.88094217,0.119057775
12,Hillary Clinton,1478313800,0.9989843,0.001015731
13,Bernie Sanders,1478273820,0.9956898,0.0043102084
14,Hillary Clinton,1478312990,0.45210868,0.5478914
15,Hillary Clinton,1473799028,0.999974,2.5932044e-05
16,Bernie Sanders,1478269583,0.8624345,0.13756551
17,Hillary Clinton,1478307121,0.9999573,4.269516e-05
18,Hillary Clinton,1478288274,0.9954419,0.0045580473
19,Bernie Sanders,1476385049,0.007223758,0.9927763
20,Bernie Sanders,1478285877,0.99998176,1.8247596e-05
21,Hillary Clinton,1478311742,0.9974988,0.0025011362
22,Tim Kaine,1475453191,0.9999926,7.375201e-06
23,Hillary Clinton,1478282211,0.06838125,0.93161875
24,Bernie Sanders,1478298532,0.9968928,0.0031071275
25,Hillary Clinton,1478294613,0.5361819,0.46381807
26,Hillary Clinton,1478294784,0.14971744,0.85028255
27,Bernie Sanders,1478287795,0.998744,0.0012560065
28,Hillary Clinton,1478312890,0.9276236,0.072376356
29,Tim Kaine,1478282786,0.4726708,0.52732927
30,Hillary Clinton,1478305172,0.50428545,0.49571455
31,Hillary Clinton,1474210635,0.9608865,0.039113536
32,Hillary Clinton,1478297074,0.9958813,0.004118686
33,Bernie Sanders,1478281822,0.9154328,0.08456714
34,Hillary Clinton,1478315550,0.9995117,0.0004882891
35,Bernie Sanders,1478269658,0.99865854,0.001341471
36,Hillary Clinton,1478303745,0.9999989,1.1040586e-06
37,Bernie Sanders,1478307420,0.9999988,1.1912925e-06
38,Hillary Clinton,1478282032,0.27581137,0.72418857
39,Hillary Clinton,1478272667,0.34402332,0.6559767
40,Hillary Clinton,1478275417,0.94116336,0.05883668
41,Bernie Sanders,1476384560,0.9590477,0.040952265
42,Hillary Clinton,1478294921,0.53688824,0.4631118
43,Tim Kaine,1474921150,0.2580742,0.74192584
44,Hillary Clinton,1478292313,0.110936955,0.88906306
45,Hillary Clinton,1478295123,0.95742637,0.04257357
46,Bernie Sanders,1478294160,0.9971866,0.0028133376
47,Bernie Sanders,1476300491,0.9322947,0.067705326
48,Hillary Clinton,1475453291,0.9999584,4.1606738e-05
49,Hillary Clinton,1478282315,0.94700325,0.05299674
50,Hillary Clinton,1476299025,0.467641,0.53235894
51,Martin O'Malley,1478275201,0.9965527,0.0034472996
52,Bernie Sanders,1473798247,0.5298129,0.47018716
53,Hillary Clinton,1478288795,0.01566806,0.98433197
54,Hillary Clinton,1478285375,0.94900167,0.050998334
55,Hillary Clinton,1478299876,0.054390367,0.9456096
56,Hillary Clinton,1478310607,0.82031685,0.17968316
57,Hillary Clinton,1478290101,0.77300644,0.22699355
58,Bernie Sanders,1478289060,0.8647544,0.13524559
59,Hillary Clinton,1476297626,0.9999702,2.975787e-05
60,Bernie Sanders,1478270270,0.4923663,0.5076336
61,Bernie Sanders,1476385260,0.4360698,0.5639303
62,Hillary Clinton,1478271004,0.99769384,0.0023061156
63,Hillary Clinton,1478281877,0.99973446,0.0002654906
64,Bernie Sanders,1478300580,0.38781288,0.61218715
65,Tim Kaine,1474210804,0.7447232,0.2552769
66,Hillary Clinton,1476480338,0.9980076,0.0019924243
67,Hillary Clinton,1478312838,0.819207,0.18079294
68,Hillary Clinton,1476384325,0.5027638,0.49723616
69,Hillary Clinton,1478279873,0.99768245,0.0023175816
70,Bernie Sanders,1473788283,0.9972408,0.0027592266
71,Hillary Clinton,1478293526,0.9004375,0.099562556
72,Hillary Clinton,1478289507,0.08660971,0.9133902
73,Hillary Clinton,1478276507,0.28304124,0.71695876
74,Tim Kaine,1476298940,0.9775254,0.022474537
75,Tim Kaine,1478270518,0.042403184,0.9575969
76,Bernie Sanders,1476816480,0.62803507,0.37196493
77,Bernie Sanders,1478287267,0.9923362,0.0076638404
78,Martin O'Malley,1478270775,0.75997317,0.24002688
79,Hillary Clinton,1478350573,0.6522446,0.34775534
80,Hillary Clinton,1478277668,0.9395152,0.0604848
81,Hillary Clinton,1475453168,0.99999845,1.5024342e-06
82,Hillary Clinton,1478311368,0.9615451,0.038454935
83,Bernie Sanders,1478272473,0.99985766,0.00014225784
84,Hillary Clinton,1476835307,0.67206687,0.32793316
85,Bernie Sanders,1478272334,0.9531342,0.046865825
86,Bernie Sanders,1476717840,0.03828913,0.96171093
87,Hillary Clinton,1478312528,0.11665307,0.883347
88,Hillary Clinton,1478269660,0.9172958,0.08270422
89,Bernie Sanders,1478282040,0.110250086,0.8897499
90,Hillary Clinton,1474921805,0.5522589,0.4477411
91,Hillary Clinton,1478281689,0.39395565,0.60604435
92,Martin O'Malley,1478315996,0.99959,0.00041001866
93,Hillary Clinton,1478313659,0.9999198,8.016915e-05
94,Bernie Sanders,1476717120,0.26360455,0.7363954
95,Hillary Clinton,1478313089,0.95933604,0.04066401
96,Tim Kaine,1473798070,0.99954444,0.00045550842
97,Hillary Clinton,1478294449,0.82311946,0.1768805
98,Martin O'Malley,1478288069,0.98632437,0.013675629
99,Bernie Sanders,1475851260,0.90758574,0.092414305
100,Tim Kaine,1472005793,0.9999825,1.7480006e-05
101,Bernie Sanders,1473211081,0.999966,3.3964065e-05
102,Bernie Sanders,1477848540,0.39814097,0.60185903
103,Hillary Clinton,1472167109,0.9999974,2.6513048e-06
